ticker,fund_name,sponsor,active,validation_keywords
HEQ,John Hancock Diversified Income Fund,John Hancock Investment Management LLC,TRUE
HFRO,Highland Opportunities and Income Ord,"NexPoint Asset Management, L.P.",TRUE
HGLB,Highland Global Allocation Fund,"NexPoint Asset Management, L.P.",TRUE
HIO,Western Asset High Income Opportunity,"Franklin Templeton Fund Adviser, LLC",TRUE
HIX,Western Asset High Income II,Franklin Templeton Investments,TRUE
HPF,JHancock Preferred Income II,John Hancock Investment Management LLC,TRUE
HPI,JHancock Preferred Income,John Hancock Investment Management LLC,TRUE
HPS,JHancock Preferred Income III,John Hancock Investment Management LLC,TRUE
HQH,abrdn Healthcare Investors,abrdn Inc.,TRUE
HQL,abrdn Life Sciences Investors,abrdn Inc.,TRUE
HTD,JHancock Tax-Advantaged Dividend Inc,John Hancock Investment Management LLC,TRUE
HYI,Western Asset High Yield Opp Fund,"Franklin Templeton Fund Adviser, LLC",TRUE
HYT,BlackRock Corporate High Yield Fund,BlackRock,TRUE
IAE,Voya Asia Pacific High Div Eq Inc Fd,"Voya Investments, LLC",TRUE
IDE,Voya Infrastructure Industrials&Matls Fd,"Voya Investments, LLC",TRUE
IFN,The India Fund Inc,abrdn Asia Limited,TRUE
IGA,Voya Global Advantage and Premium Opp Fd,"Voya Investments, LLC",TRUE
IGD,Voya Global Equity Dividend&Prm Opp Fd,"Voya Investments, LLC",TRUE
IGR,CBRE Global Real Estate Income,CBRE Investment Management Listed Real Assets LLC,TRUE
IHD,Voya Emerging Markets High Div Eq Fd,"Voya Investments, LLC",TRUE
IIF,Morgan Stanley India Investment,"Morgan Stanley Investment Management, Inc.",TRUE
IIM,Invesco Value Muni Income,"Invesco Advisers, Inc",TRUE
IQI,Invesco Quality Municipal Income Trust,"Invesco Advisers, Inc",TRUE
ISD,"PGIM High Yield Bond Fund, Inc.",PGIM,TRUE
JCE,Nuveen Core Equity Alpha,"Nuveen Fund Advisors, LLC.",TRUE
JFR,Nuveen Floating Rate Income,"Nuveen Fund Advisors, LLC.",TRUE
JGH,Nuveen Global High Income Fund,"Nuveen Fund Advisors, LLC.",TRUE
JHI,JHancock Investors,John Hancock,TRUE
JLS,Nuveen Mortgage and Income Fund,"Nuveen Fund Advisors, LLC.",TRUE
JOF,Japan Smaller Cap Fund,Nomura Asset Management Co Ltd,TRUE
JPC,Nuveen Pref & Income Opps Fund,"Nuveen Fund Advisors, LLC.",TRUE
JQC,Nuveen Credit Strategies Income Fund,"Nuveen Fund Advisors, LLC.",TRUE
JRI,Nuveen Real Asset Inc and Grwt,"Nuveen Fund Advisors, LLC.",TRUE
JRS,Nuveen Real Estate Income,"Nuveen Fund Advisors, LLC.",TRUE
KIO,KKR Income Opportunities Fund,Kohlberg Kravis Roberts & Co.,TRUE
KTF,DWS Municipal Income,"DWS Investment Management Americas, Inc.",TRUE
KYN,Kayne Anderson Energy Infrastructure,"KA Fund Advisors, LLC",TRUE
LDP,Cohen & Steers Ltd Duration Pref & Inc,"Cohen & Steers Capital Management, Inc.",TRUE
LEO,BNY Mellon Strategic Municipals,BNY Mellon,TRUE
LGI,Lazard Global Total Return and Income,Lazard Asset Management LLC,TRUE
MCI,Barings Corporate Investors,Barings LLC,TRUE
MCN,XAI Madison Equity Premium Income Fund,XA Investments LLC,TRUE
MCR,MFS Charter Income,MFS,TRUE
MEGI,NYLI CBRE Glb Infra Megatrends Term Fund,New York Life Investment Management LLC,TRUE
MFM,MFS Municipal Income,MFS,TRUE
MGF,MFS Government Markets Inc,MFS,TRUE
MHD,BlackRock Muniholdings,BlackRock,TRUE
MIN,MFS Intermediate Income,MFS,TRUE
MIY,BlackRock MuniYield MI Quality,BlackRock,TRUE
MMD,NYLI MacKay DefinedTerm Muni Opps Fund,New York Life Investment Management LLC,TRUE
MMT,MFS Multimarket Income,MFS,TRUE
MMU,Western Asset Managed Municipals,Franklin Templeton Investments,TRUE
MPA,BlackRock MuniYield PA Quality,BlackRock,TRUE
MQY,BlackRock Muniyield Quality,"BlackRock Advisors, LLC",TRUE
MSD,Morgan Stanley Emerging Markets Debt,"Morgan Stanley Investment Management, Inc.",TRUE,"morgan stanley,morgan stanley emerging markets debt,emerging markets debt"
MUA,BlackRock Muniassets,BlackRock,TRUE
MUC,BlackRock MuniHoldings CA Qty,BlackRock,TRUE
MUJ,BlackRock MuniHoldings NJ Qty,BlackRock,TRUE
MXF,Mexico Fund,"Impulsora Del Fondo Mexico, SC",TRUE
MYI,BlackRock MuniYield Qty III,BlackRock,TRUE
MYN,BlackRock MuniYield NY Quality,"BlackRock Advisors, LLC",TRUE
NAC,Nuveen CA Quality Muni Income,"Nuveen Fund Advisors, LLC.",TRUE
NAD,Nuveen Quality Muni Income Fund,"Nuveen Fund Advisors, LLC.",TRUE
NAN,Nuveen NY Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NBB,Nuveen Taxable Municipal Income,"Nuveen Fund Advisors, LLC.",TRUE
NBH,Neuberger Municipal Fund,Neuberger Berman,TRUE
NBXG,Neuberger Brmn Nxt Gnrtn Cnnctvty,Neuberger Berman,TRUE
NCA,Nuveen CA Municipal Value,"Nuveen Fund Advisors, LLC.",TRUE
NDMO,Nuveen Dynamic Municipal Opportunities,"Nuveen Fund Advisors, LLC.",TRUE
NEA,Nuveen AMT-Free Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NFJ,AllianzGI Div Interest & Prem Common,"Virtus Investment Advisers, LLC",TRUE
NHS,Neuberger High Yield Strategies,Neuberger Berman,TRUE
NIE,Virtus Equity & Convertible Inc Fund,"Virtus Investment Advisers, LLC",TRUE
NKX,Nuveen CA AMT - Free Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NMCO,Nuveen Municipal Credit Opps Fund,"Nuveen Fund Advisors, LLC.",TRUE
NML,NB Energy Infra and Income Fund Inc,Neuberger Berman,TRUE
NMZ,Nuveen Municipal High Income Opp Fd,"Nuveen Fund Advisors, LLC.",TRUE
NPV,Nuveen VA Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NQP,Nuveen PA Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NRK,Nuveen NY AMT - Free Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NRO,Neuberger Real Estate Securities Income,Neuberger Berman,TRUE
NUV,Nuveen Municipal Value,"Nuveen Fund Advisors, LLC.",TRUE
NUW,Nuveen AMT-Free Municipal Value Fund,"Nuveen Fund Advisors, LLC.",TRUE
NVG,Nuveen AMT-Free Muni Credit Inc,"Nuveen Fund Advisors, LLC.",TRUE
NXJ,Nuveen NJ Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NXP,Nuveen Select Tax Free Inc,"Nuveen Fund Advisors, LLC.",TRUE
NZF,Nuveen Municipal Credit Income,"Nuveen Fund Advisors, LLC.",TRUE
OCCI,OFS Credit Company Inc,"OFS Capital Management, LLC",TRUE
OIA,Invesco Municipal Inc Opp I,"Invesco Advisers, Inc",TRUE
OPP,RiverNorth/DoubleLine Strategic Opp Fund,"RiverNorth Capital Management, LLC",TRUE
PAXS,PIMCO Access Income,PIMCO,TRUE
PCF,High Income Securities,Bulldog Investors LLP,TRUE
PCM,PCM Fund,"Pacific Investment Management Company, LLC",TRUE,"pimco,pacific investment management,pacific investment management company"
PCN,PIMCO Corporate & Income Strgy,"Pacific Investment Management Company, LLC",TRUE
PCQ,PIMCO CA Municipal Income,"Pacific Investment Management Company, LLC",TRUE
PDI,PIMCO Dynamic Income Fund,"Pacific Investment Management Company, LLC",TRUE
PDO,PIMCO Dynamic Income Opportunities Fund,"Pacific Investment Management Company, LLC",TRUE
PDT,JHancock Premium Dividend Fund,John Hancock,TRUE
PEO,Adams Natural Resources Fund,Adams Natural Resources Fund Inc,TRUE
PFD,Flaherty & Crumrine Preferred Income,Flaherty & Crumrine,TRUE
PFL,PIMCO Income Strategy,PIMCO,TRUE
PFN,PIMCO Income Strategy II,"Pacific Investment Management Company, LLC",TRUE
PFO,Flaherty & Crumrine Preferred Income Opp,Flaherty & Crumrine Inc,TRUE
PGP,PIMCO Global StocksPLUS & Income,"Pacific Investment Management Company, LLC",TRUE
PGZ,Principal Real Estate Income Fund,Principal Funds,TRUE
PHK,PIMCO High Income,"Pacific Investment Management Company, LLC",TRUE
PHYS,Sprott Physical Gold Trust Unit,Sprott Asset Management LP,TRUE
PIM,Putnam Master Interm Income,"Franklin Advisers, Inc.",TRUE
PML,PIMCO Municipal Income II,PIMCO,TRUE
PMM,Putnam Managed Muni Income,"Franklin Advisers, Inc.",TRUE
PMO,Putnam Muni Opportunities,"Franklin Advisers, Inc.",TRUE
PNI,PIMCO NY Municipal Income II,PIMCO,TRUE
PPT,Putnam Premier Income,"Franklin Advisers, Inc.",TRUE
PSF,Cohen & Steers Select Preferred & Inc,Cohen & Steers,TRUE
PSLV,Sprott Physical Silver Trust Unit,Sprott Asset Management LP,TRUE
PTA,Cohen & Steers Tax-adv Prd Sec and Inc,"Cohen & Steers Capital Management, Inc.",TRUE
PTY,PIMCO Corporate & Income Opportunity Fd,PIMCO,TRUE
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,"Nuveen Fund Advisors, LLC.",TRUE
RA,Brookfield Real Assets Income Fund Inc.,Brookfield Public Securities Group LLC,TRUE
RCS,PIMCO Strategic Income Fund,PIMCO,TRUE
RFI,Cohen & Steers Total Return,"Cohen & Steers Capital Management, Inc.",TRUE
RFM,RiverNorth Flexible Municipal Income,"RiverNorth Capital Management, LLC",TRUE
RFMZ,RiverNorth Flexible Municipal Income II,"RiverNorth Capital Management, LLC",TRUE
RGT,"Royce Global Trust, Inc.",Royce Investment Partners,TRUE
RIV,RiverNorth Opportunities Fund,"RiverNorth Capital Management, LLC",TRUE
RLTY,Cohen & Steers Real Estate Opp & Inc Fd,"Cohen & Steers Capital Management, Inc.",TRUE
RMT,Royce Micro-Cap Trust,Royce Investment Partners,TRUE
RNP,Cohen & Steers REIT & Preferred Inc Fd,"Cohen & Steers Capital Management, Inc.",TRUE
RQI,Cohen & Steers Qual Inc Realty,Cohen & Steers,TRUE
RVT,Royce Small-Cap Trust,Royce Investment Partners,TRUE
SBI,Western Asset Intermediate Muni,"Franklin Templeton Fund Adviser, LLC",TRUE
SDHY,PGIM Short Duration High Yield Opps,PGIM,TRUE
SPE,Special Opportunities,Bulldog Investors LLP,TRUE
SPPP,Sprott Physical Platinum & Palladium Tr,Sprott Asset Management LP,TRUE
SPXX,Nuveen S&P 500 Dynamic Overwrite,"Nuveen Fund Advisors, LLC.",TRUE
STK,Columbia Seligman Premium Technology Gr,"Columbia Mgmt Investment Advisers, LLC",TRUE
SWZ,Total Return Securities Fund,Bulldog Investors LLP,TRUE
TDF,Templeton Dragon,Templeton Asset Management Ltd.,TRUE
TEI,Templeton Emerg Mkts Income,"Franklin Advisers, Inc.",TRUE
THQ,abrdn Healthcare Opportunities Fund,abrdn Inc.,TRUE
THW,abrdn World Healthcare Fund,abrdn Inc.,TRUE
TSI,TCW Strategic Income,TCW Investment Management Co LLC,TRUE
TWN,Taiwan Fund,Nomura Asset Management USA Inc,TRUE
TY,Tri-Continental,"Columbia Mgmt Investment Advisers, LLC",TRUE
TYG,Tortoise Energy Infrastructure Corp.,"Tortoise Capital Advisors, LLC",TRUE
USA,Liberty All-Star Equity,ALPS Advisors Inc,TRUE,"liberty all-star,liberty all-star equity"
UTG,Reaves Utility Income,Reaves Asset Management,TRUE
VBF,Invesco Bond,"Invesco Advisers, Inc",TRUE
VCV,Invesco CA Value,"Invesco Advisers, Inc",TRUE
VFL,abrdn National Municipal Income Fund,abrdn Inc.,TRUE
VGI,Virtus Global Multi-Sector Income Fund,"Virtus Investment Advisers, LLC",TRUE
VGM,Invesco Tr Inv Gr Muni,"Invesco Advisers, Inc",TRUE
VKI,Invesco Adv Muni Inc II,"Invesco Advisers, Inc",TRUE
VKQ,Invesco Municipal,"Invesco Advisers, Inc",TRUE
VMO,Invesco Muni Opp,"Invesco Advisers, Inc",TRUE
VPV,Invesco PA Value,"Invesco Advisers, Inc",TRUE
VVR,Invesco Senior Income,"Invesco Advisers, Inc",TRUE
WDI,Western Asset Diversified Inc Fund,"Franklin Templeton Fund Adviser, LLC",TRUE
WEA,Western Asset Premier Bond,Western Asset Management Company Pte Ltd. – Singapore,TRUE
WIA,Western Asset Inflation-Linked Income Fd,"Western Asset Management Company, LLC",TRUE
WIW,Western Asset Infl-Linked Opps & Inc Fd,"Western Asset Management Company, LLC",TRUE
